Question,related_sentences
Did Medical physicians have high status in the Han dynasty?,"Medicine Han-era medical physicians believed that the human body was subject to the same forces of nature that governed the greater universe, namely the cosmological cycles of yin and yang and the five phases. Besides dieting, Han physicians also prescribed moxibustion, acupuncture, and calisthenics as methods of maintaining one's health."
Did slaves belong to one of twenty ranks?,"Ranked immediately below the emperor were the kings who were of the same Liu family clan. The rest of society, including nobles lower than kings and all commoners excluding slaves belonged to one of twenty ranks (ershi gongcheng 二十公乘). Each successive rank gave its holder greater pensions and legal privileges."
Was the landowner’s land tax paid in coin cash ,"This central government issuance of coinage was overseen by the Superintendent of Waterways and Parks, this duty being transferred to the Minister of Finance during Eastern Han. Taxation and property Aside from the landowner's land tax paid in a portion of their crop yield, the poll tax and property taxes were paid in coin cash."
Did the Xiongnu border the southern edge of Han territory?,"They defeated the Han in 200 BC and forced the Han to submit as a de facto inferior and vassal partner for several decades, while continuing their military raids on the dynasty's borders. This changed in 133 BC, during the reign of Emperor Wu, when Han forces began a series of intensive military campaigns and operations against the Xiongnu. The Han ultimately defeated the Xiongnu in these campaigns, and the Xiongnu were forced to accept vassal status as Han tributaries."
Who helped to begin the Silk Road trade network?,"All of these countries eventually received Han embassies. These connections marked the beginning of the Silk Road trade network that extended to the Roman Empire, bringing Han items like silk to Rome and Roman goods such as glasswares to China. From roughly 115 to 60 BC, Han forces fought the Xiongnu over control of the oasis city-states in the Tarim Basin."
Who was succeeded by the Han dynasty?,"Gengshi's distant cousin Liu Xiu, known posthumously as Emperor Guangwu (r. 25–57 AD), after distinguishing himself at the Battle of Kunyang in 23 AD, was urged to succeed Gengshi as emperor. Under Guangwu's rule the Han Empire was restored. Guangwu made Luoyang his capital in 25 AD, and by 27 AD his officers Deng Yu and Feng Yi had forced the Red Eyebrows to surrender and executed their leaders for treason. From 26 until 36 AD, Emperor Guangwu had to wage war against other regional warlords who claimed the title of emperor; when these warlords were defeated, China reunified under the Han. The period between the foundation of the Han dynasty and Wang Mang's reign is known as the Western Han (traditional Chinese: 西漢; simplified Chinese: 西汉; pinyin: Xīhàn) or Former Han (traditional Chinese: 前漢; simplified Chinese: 前汉; pinyin: Qiánhàn) (206 BC – 9 AD)."
Who presided over the Han government?,The emperor was at the pinnacle of Han society. He presided over the Han government but shared power with both the nobility and appointed ministers who came largely from the scholarly gentry class.
What did Southern and Northern Xiongnu disagree about?,"The Han dynasty is known for the many conflicts it had with the Xiongnu, a nomadic steppe confederation to the dynasty's north. The Xiongnu initially had the upper hand in these conflicts."
Which direction is Luoyang to Chang’an? ,"Emperor Xian fled from Chang'an in 195 AD to the ruins of Luoyang. Xian was persuaded by Cao Cao (155–220 AD), then Governor of Yan Province in modern western Shandong and eastern Henan, to move the capital to Xuchang in 196 AD."
Was the emperor the highest priest in the land during the Han dynasty?,"By December his son Cao Pi (187–226 AD) had Emperor Xian relinquish the throne to him and is known posthumously as Emperor Wen of Wei. In the hierarchical social order, the emperor was at the apex of Han society and government. However the emperor was often a minor, ruled over by a regent such as the empress dowager or one of her male relatives. Ranked immediately below the emperor were the kings who were of the same Liu family clan."
Which parts of The Han empire had to pay their labor tax?,"In 168 BC, the land tax rate was reduced from one-fifteenth of a farming household's crop yield to one-thirtieth, and later to a one-hundredth of a crop yield for the last decades of the dynasty. In the early Western Han, a wealthy salt or iron industrialist, whether a semi-autonomous king or wealthy merchant, could boast funds that rivaled the imperial treasury and amass a peasant workforce of over a thousand."
"In the hierarchical social order, is the emperor at the apex of Han society and government?","Culture and society  Social class In the hierarchical social order, the emperor was at the apex of Han society and government. However the emperor was often a minor, ruled over by a regent such as the empress dowager or one of her male relatives."
Who created central government monopolies administered by former merchants?,"He created central government monopolies administered largely by former merchants. These monopolies included salt, iron, and liquor production, as well as bronze-coin currency."
Which character did modern China use to refer to people and language?,"The Han dynasty (UK: , US: ; Chinese: 漢朝; pinyin: Hàncháo) was an imperial dynasty of China (202 BC – 9 AD, 25–220 AD), established by Liu Bang (Emperor Gao) and ruled by the House of Liu. The dynasty was preceded by the short-lived Qin dynasty (221–207 BC) and a warring interregnum known as the Chu–Han contention (206–202 BC), and it was succeeded by the Three Kingdoms period (220–280 AD). Modern China's majority ethnic group refers to themselves as the ""Han people"", the Sinitic language is known as ""Han language"", and the written Chinese is referred to as ""Han characters""."
Did the first imperial dynasty unite the Chinese Warring States by conquest?,"History  Western Han China's first imperial dynasty was the Qin dynasty (221–207 BC). The Qin united the Chinese Warring States by conquest, but their regime became unstable after the death of the first emperor Qin Shi Huang."
How long did the Eastern Han dynasty last?,"The period between the foundation of the Han dynasty and Wang Mang's reign is known as the Western Han (traditional Chinese: 西漢; simplified Chinese: 西汉; pinyin: Xīhàn) or Former Han (traditional Chinese: 前漢; simplified Chinese: 前汉; pinyin: Qiánhàn) (206 BC – 9 AD). The era from his reign until the fall of Han is known as the Eastern Han or Later Han (25–220 AD). Eastern Han The Eastern Han (traditional Chinese: 東漢; simplified Chinese: 东汉; pinyin: Dōnghàn), also known as the Later Han (traditional Chinese: 後漢; simplified Chinese: 后汉; pinyin: Hòuhàn), formally began on 5 August AD 25, when Liu Xiu became Emperor Guangwu of Han."
Are commanderies smaller than provinces in the Han empire?,"Local government The Han empire, excluding kingdoms and marquessates, was divided, in descending order of size, into political units of provinces, commanderies, and counties. A county was divided into several districts (xiang 鄉), the latter composed of a group of hamlets (li 里), each containing about a hundred families."
Which dynasty first established the money economy?,This policy endured until the fall of the Qing dynasty in 1912 AD. The Han dynasty saw an age of economic prosperity and witnessed a significant growth of the money economy first established during the Zhou dynasty (c. 1050–256 BC).
