document_id,question,answer,difficulty
/constellations/leo_constellation.txt,Is gold one of the major elements found in the orbit of the two galaxies found within Leo?,No,H
/constellations/leo_constellation.txt,What type of star is Iota Leonis?,binary star,M
/constellations/leo_constellation.txt,NGC 2903 is similar to which galaxy,Milky Way,M
/constellations/leo_constellation.txt,Is the earth in the Leo constellation?,No,H
/constellations/leo_constellation.txt,What animal is Leo?,A lion,M
/constellations/leo_constellation.txt,What is Leo Latin for?,Lion,M
/constellations/leo_constellation.txt,Was leo killed by Gilgamesh?,yes,M
/constellations/leo_constellation.txt,Is Leo an astrological sign of August?,Yes,H
/constellations/leo_constellation.txt,Does Leo only contain one galaxy?,No ,M
/constellations/leo_constellation.txt,"Apart from hydrogen, what is the other element found within galaxies of Leo?",helium,H
/constellations/leo_constellation.txt,How many stars in the Leo constellation are in the first or second magnitude?,Four,H
/constellations/leo_constellation.txt,Is Leo the most recently recognized constellation?,No ,M
/constellations/leo_constellation.txt,Is Messier 65 part of Leo Triplet?,Yes,M
/constellations/leo_constellation.txt,Are all the 88 modern constellations today as recognizable as Leo?,No,H
/constellations/leo_constellation.txt,Is Alpha Leonis visible in binocular?,Yes,H
/constellations/leo_constellation.txt,Does Leo contain Messier 65?,Yes,M
/constellations/leo_constellation.txt,How many modern constellations are there?,88,H
/constellations/leo_constellation.txt,Is Algieba more than 1260 light-years away from Earth?,No,M
/constellations/leo_constellation.txt,Are there multiple types of Leonid showers?,Yes ,H
/constellations/leo_constellation.txt,What two months do Leonid showers occur?,November and January,H
/constellations/leo_constellation.txt,Does Leo contain the galaxy Messier 98?,No,M
/constellations/leo_constellation.txt,What is 7 meteors per hour the normal peak rate of the Leonidis in November?,No,H
/constellations/leo_constellation.txt,How often does Comet Tempel-Tuttle outburst?,35 years,M
/constellations/leo_constellation.txt,What shape does Leo take?,Sickle,M
/constellations/leo_constellation.txt,Is November 18 before the peak days of the Leonid Meteor shower that have a radiant close to Gamma Leonis?,No,H
/constellations/leo_constellation.txt,Why did Heracles kill the Nemean Lion?,It was one of his twelve labors,M
/constellations/leo_constellation.txt,Is Regulus farther than 70 light-years from Earth?,Yes,H
/constellations/leo_constellation.txt,What is the meaning of Leo in Latin?,Lion,M
/constellations/leo_constellation.txt,Is Beta Leonis in the middle of the Leo constellation?,No,M
/constellations/leo_constellation.txt,What language is Leo's name?,Latin,M
/constellations/leo_constellation.txt,"Does Beta Leonis means ""the little king""?",No,M
/constellations/leo_constellation.txt,"What color is ""the little king"" star of Leo?",Blue-white,H
/constellations/leo_constellation.txt,Is the Leo constellation hard to recognize?,no,M
/constellations/leo_constellation.txt,What is the magnitude of 40 Leonis?,4.8,M
/constellations/leo_constellation.txt,Which galaxies are part of the Leo triplet?,Messier 65 and Messier 66,H
/constellations/leo_constellation.txt,Is the identification of Leo's bright stars a modern discovery? ,No ,M
/constellations/leo_constellation.txt,Why did Hercules fight the Leo lion with his bare hands?,The lion was impervious to weapons,H
/constellations/leo_constellation.txt,How is the lion in Leo standing?,In a crouching position,M
/constellations/leo_constellation.txt,Why is Leo especially prominent?,4 stars of first or second magnitude,H
/constellations/leo_constellation.txt,"Is Leo Ring made up of a cloud of hydrogen, helium gas?",Yes,M
/constellations/leo_constellation.txt,Is Algieba less than 260 light-years away from Earth?,Yes,M
/constellations/leo_constellation.txt,How many constellations were described by Ptolemy?,48,M
/constellations/leo_constellation.txt,How many stars of the first or second magnitude does Leo have?,Four,M
/constellations/leo_constellation.txt,How many stars mark the sickle used to represent the Leo constellation?,Six,H
/constellations/leo_constellation.txt,What is Leo's constellation location hemisphere?,Northern Celestial,H
/constellations/leo_constellation.txt,Is the Leo Triplet inside the Leo constellation?,Yes,H
/constellations/leo_constellation.txt,What is the traditional name of 40 Leonis?,Algieba,H
/constellations/leo_constellation.txt,Which star is at the opposite end of the constellation to Alpha Leonis?,Beta Leonis,H
/pokemon_characters/magikarp_pokemon.txt,What color is Magikarp?,red,H
/pokemon_characters/magikarp_pokemon.txt,Is Pokémon: Magikarp Jump a mobile video game?,Yes,M
/pokemon_characters/magikarp_pokemon.txt,What is the color of the long barbels on female Magikarp?,white,M
/pokemon_characters/magikarp_pokemon.txt,What color are the barbels on female Magikarp?,white,H
/pokemon_characters/magikarp_pokemon.txt,Can Magikarp learn the move Flail in the first generation of Pokémon games?,No,H
